author,sample,dNi,Type
Ciscato 2018,BC39,1.24,Modern Upwelling Production
Ciscato 2018,BC57,1.02,Modern Upwelling Production
Ciscato 2018,BC62,1.08,Modern Upwelling Production
Ciscato 2018,BC76,1.15,Modern Upwelling Production
Ciscato 2018,BC81,1.15,Modern Upwelling Production
Ciscato 2018,KC83,1.14,Modern Upwelling Production
Ciscato 2018,BC93,1.3,Modern Upwelling Production
Ciscato 2018,BC125,0.91,Modern Upwelling Production
Ciscato 2018,KC127,1.04,Modern Upwelling Production
Ciscato 2018,BC153,0.98,Modern Upwelling Production
Ciscato 2018,MC6A1,1.28,Modern Upwelling Production
Ciscato 2018,MC6A6,1.28,Modern Upwelling Production
Ciscato 2018,MC6A14,1.28,Modern Upwelling Production
Ciscato 2018,MC6A22,1.71,Modern Upwelling Production
Ciscato 2018,MC6A26,1.83,Modern Upwelling Production
Ciscato 2018,MC6A4446,1.4,Modern Upwelling Production
Ciscato 2018,MC9G1,1.21,Modern Upwelling Production
Ciscato 2018,MC9G7,1.13,Modern Upwelling Production
Ciscato 2018,MC9G11,0.96,Modern Upwelling Production
Ciscato 2018,MC9G13,1.02,Modern Upwelling Production
Ciscato 2018,MC11C4,0.96,Modern Upwelling Production
Ciscato 2018,MC11C8,0.94,Modern Upwelling Production
Ciscato 2018,MC11C17,0.98,Modern Upwelling Production
Ciscato 2018,MC11C28,0.86,Modern Upwelling Production
Ciscato 2018,MC11C35,0.93,Modern Upwelling Production
Ciscato 2018,LS14,1.58,Modern Upwelling Production
Ciscato 2018,LS20,1.21,Modern Upwelling Production
Ciscato 2018,LS25,1.28,Modern Upwelling Production
Ciscato 2018,LS30,1.58,Modern Upwelling Production
Ciscato 2018,LS35,1.31,Modern Upwelling Production
Ciscato 2018,LS40,1.34,Modern Upwelling Production
Ciscato 2018,LS45,1.34,Modern Upwelling Production
Ciscato 2018,LS65,1.1,Modern Upwelling Production
Pasava et al 2018,"3433/321/193,18",-0.085,Shale
Pasava et al 2018,"3344/329/118,68",0.37,Shale
Pasava et al 2018,HRM-3/6206,0.02,Shale
Pasava et al 2018,HRM-3/6207,0.4,Shale
Pasava et al 2018,HRM-3/6208,-0.136,Shale
Pasava et al 2018,HRM-3/6211,0,Shale
Pasava et al 2018,HRM-3/6213,0.41,Shale
Pasava et al 2018,HRM-3/6216,0.01,Shale
Pasava et al 2018,HRM-3/6218,0.05,Shale
Pasava et al 2018,HRM-3/6221,0.62,Shale
Pasava et al 2018,HRM-3/6226,-0.19,Shale
Pasava et al 2018,HRM-3/6228,0.37,Shale
Pasava et al 2018,HRM-3/6232,-0.372,Shale
Pasava et al 2018,HRM-3/6235,-0.264,Shale
Pasava et al 2018,HRM-3/6238,-0.461,Shale
Pasava et al 2018,CHI-13/1,-0.305,Shale
Pasava et al 2018,CHI-13/2,-0.201,Shale
Pasava et al 2018,CHI-14,0.08,Shale
Pasava et al 2018,CHI-16,-0.118,Shale
Pasava et al 2018,CHI-19,-0.84,Shale
Pasava et al 2018,CHI-21,-0.711,Shale
Pasava et al 2018,CHI-22,-0.507,Shale
Pasava et al 2018,CHI-23,-0.611,Shale
Pasava et al 2018,A1801,0.54,Shale
Pasava et al 2018,T21769,-0.036,Shale
Pasava et al 2018,T22041,-0.016,Shale
Pasava et al 2018,T8402,-0.312,Shale
Pasava et al 2018,T8441,-0.385,Shale
Porter et al 2014,?SP22-09,0.28,Shale
Porter et al 2014,?SP28-09,0.33,Shale
Porter et al 2014,?SP24-09,0.4,Shale
Porter et al 2014,?SP10-10,0.46,Shale
Porter et al 2014,?SP21-09,0.55,Shale
Porter et al 2014,?SP18-09,0.57,Shale
Porter et al 2014,?SP14-09,0.58,Shale
Porter et al 2014,?SP32-09,0.61,Shale
Porter et al 2014,?SP30-09,0.67,Shale
Porter et al 2014,?SP20-09,0.69,Shale
Porter et al 2014,?SP16-09,0.76,Shale
Porter et al 2014,?SP34-09,0.95,Shale
Porter et al 2014,?SP8-10,1.09,Shale
Porter et al 2014,?SP36-09,1.25,Shale
Porter et al 2014,?SP26-09,1.26,Shale
Porter et al 2014,?SP12-09,1.6,Shale
Porter et al 2014,?SP9-10,1.98,Shale
Porter et al 2014,?SP13-10,2.5,Shale
